number, mnemonic, length, cycles, description 

0x00,   NOP,      1,      4,      No op
0x01,   LXI,      3,      10,     B:C <- imm16
0x02,   STAX,     1,      7,      [B:C] <- A
0x03,   INX,      1,      5,      B:C++
0x04,   INR,      1,      5,      B++
0x05,   DCR,      1,      5,      B--
0x06,   MVI,      2,      7,      B <- imm8
0x07,   RLC,      1,      4,      A <<= 1 (carry)
0x08,   NOP,      1,      4,      No op
0x09,   DAD,      1,      10,     H:L += B:C
0x0a,   LDAX,     1,      7,      A <- [B:C]
0x0b,   DCX,      1,      5,      B:C--
0x0c,   INR,      1,      5,      C++
0x0d,   DCR,      1,      5,      C--
0x0e,   MVI,      2,      7,      C <- imm8
0x0f,   RRC,      1,      4,      A >>= 1 (carry)

0x10,   NOP,      1,      4,      No op
0x11,   LXI,      3,      10,     D:E <- imm16
0x12,   STAX,     1,      7,      [D:E] <- A
0x13,   INX,      1,      5,      D:E++
0x14,   INR,      1,      5,      D++
0x15,   DCR,      1,      5,      D--
0x16,   MVI,      2,      7,      D <- imm8
0x17,   RAL,      1,      4,      A <<= 1
0x18,   NOP,      1,      4,      No op
0x19,   DAD,      1,      10,     H:L += D:E
0x1a,   LDAX,     1,      7,      A <- [D:E]
0x1b,   DCX,      1,      5,      D:E--
0x1c,   INR,      1,      5,      E++
0x1d,   DCR,      1,      5,      E--
0x1e,   MVI,      2,      7,      E <- imm8
0x1f,   RAR,      1,      4,      A >>= 1

0x20,   NOP,      1,      4,      No op
0x21,   LXI,      3,      10,     H:L <- imm16
0x22,   SHLD,     3,      16,     [imm16] <- H:L
0x23,   INX,      1,      5,      H:L++
0x24,   INR,      1,      5,      H++
0x25,   DCR,      1,      5,      H--
0x26,   MVI,      2,      7,      H <- imm8
0x27,   DAA,      1,      4,      Decimal adjust A
0x28,   NOP,      1,      4,      No op
0x29,   DAD,      1,      10,     H:L += H:L
0x2a,   LHLD,     3,      16,     H:L <- [imm16]
0x2b,   DCX,      1,      5,      H:L--
0x2c,   INR,      1,      5,      L++
